,nome,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
11,Enzo,0.264632171,0.062423133,1,0.975333291,0.844743332,0.51552795,0.268880259,0.274207951,0.422360248,0.037781134,0.062111801,0.31111751,0.111801242,0.236024845,0.419831198,0.427896686,0.429463117,0.330780478,0.161610085,0.92670516,0.522492782,0.254094986,0.221926519,-0.062111801,0.290824311,0.269889549,0.380912996,0.376020146,0.760063459,0.270348577
12,Azank,0.262236671,0.030846438,1,0.973255193,0.828429926,0.494998662,0.333953361,0.280046361,0.418067566,0.040681005,0.074889397,0.257646363,0.06813984,0.233005069,0.34945594,0.349072955,0.344468537,0.294587611,0.089179179,0.91465342,0.520699063,0.217660335,0.2284112,-0.081362009,0.292199862,0.273017236,0.370683605,0.301088297,0.678677864,0.28990042
13,Azank,0.252647292,0.053950033,1,0.934038435,0.779966907,0.447465788,0.255799165,0.233672609,0.310830377,0.040305691,0.074198485,0.255357751,0.094286222,0.2019758,0.399155018,0.365999525,0.352674797,0.31415861,0.149155263,0.809699007,0.507904445,0.202182177,0.206316202,-0.077252575,0.285827872,0.273637047,0.354954617,0.350669808,0.733544305,0.290027456
14,Azank,0.279652948,0.029656291,1,0.956523455,0.758156532,0.422397769,0.300451015,0.305354322,0.484621937,0.024844241,0.062110603,0.205341073,0.056243543,0.260864533,0.426605696,0.416725419,0.414735616,0.33873298,0.198850954,0.919617702,0.483927203,0.200496978,0.252239072,-0.068321663,0.283953108,0.251669046,0.389864649,0.381057535,0.656042571,0.258415895
15,Cola,0.300088112,0.048476836,1,0.939551408,0.794178163,0.478862143,0.262318594,0.254359074,0.393874296,0.042417232,0.084834464,0.279005146,0.139502573,0.212086159,0.450708118,0.422627218,0.419487664,0.363920353,0.224205369,0.930759006,0.534816554,0.29199389,0.319796035,-0.087864266,0.31158549,0.284409257,0.379488027,0.38156267,0.805767226,0.258470975
16,Cola,0.272902127,0.043413174,1,0.940291376,0.791235289,0.467411204,0.240193666,0.246165327,0.371450597,0.035928144,0.066139886,0.271119316,0.131736527,0.19760479,0.43317041,0.401800816,0.402661029,0.348093524,0.221637791,0.895163596,0.503228339,0.259800627,0.274797459,-0.083832335,0.289042472,0.267116826,0.377055365,0.379188987,0.77906954,0.278536654
17,Gui,0.311365147,0.064445019,1,0.956189384,0.824502231,0.497056203,0.268815053,0.285433199,0.408675729,0.05658587,0.088022465,0.282999201,0.13218331,0.213861284,0.451309919,0.42485237,0.3985391,0.34904144,0.138463836,0.887728149,0.565253929,0.261637931,0.28308649,-0.078591486,0.3240994,0.297604321,0.330069273,0.345859693,0.780318492,0.256430985
18,Gui,0.308361604,0.069374407,1,0.956189384,0.830521273,0.50333905,0.272973927,0.278422473,0.402437527,0.062873189,0.081976609,0.283557386,0.13218331,0.195008268,0.442544668,0.419396713,0.398171099,0.362191043,0.150895654,0.903545057,0.562563122,0.273602865,0.279944636,-0.069160508,0.319559478,0.28870835,0.340038761,0.348705386,0.781327038,0.249607994
19,Mura,0.280975677,0.046965666,1,0.97704581,0.890119186,0.55706167,0.320145396,0.293681393,0.438752409,0.058479532,0.076023392,0.298245614,0.099415205,0.19891639,0.365919182,0.373999699,0.372781103,0.331518478,0.141443118,0.865112953,0.534822606,0.292651331,0.301513291,-0.076023392,0.300654533,0.287241243,0.330189338,0.330189338,0.74442248,0.30737258
20,Mura,0.294163592,0.053022625,1,0.982793138,0.883313203,0.559596988,0.30246965,0.285339596,0.417812726,0.070588235,0.088431155,0.282597933,0.088431155,0.200086486,0.376758007,0.366287575,0.365257072,0.330267519,0.118963226,0.865218154,0.541738403,0.299695173,0.306009681,-0.085294118,0.307605732,0.2930595,0.321329418,0.322243434,0.74031043,0.298671908
